emp_no,first_name,last_name,title,salary,from_date
10001,Georgi,Facello,Senior Engineer,60117,1986-06-26
10004,Chirstian,Koblick,Senior Engineer,40054,1995-12-01
10005,Kyoichi,Maliniak,Senior Staff,78228,1996-09-12
10006,Anneke,Preusig,Senior Engineer,40000,1990-08-05
10009,Sumant,Peac,Senior Engineer,60929,1995-02-18
10018,Kazuhide,Peha,Senior Engineer,55881,1995-04-03
10019,Lillian,Haddadi,Staff,44276,1999-04-30
10020,Mayuko,Warwick,Engineer,40000,1997-12-30
10022,Shahaf,Famili,Engineer,40000,1999-09-03
10023,Bojan,Montemayor,Engineer,47883,1999-09-27
10026,Yongqiao,Berztiss,Senior Engineer,47585,2001-03-19
10035,Alain,Chappelet,Senior Engineer,41538,1996-09-05
10047,Zvonko,Nyanchama,Senior Engineer,54982,1998-03-31
10051,Hidefumi,Caine,Senior Engineer,48817,1998-10-15
10053,Sanjiv,Zschoche,Senior Staff,67854,1994-11-13
10057,Ebbe,Callaway,Senior Engineer,49616,2000-01-15
10058,Berhard,McFarlin,Senior Staff,52787,1988-04-25
10059,Alejandro,McAlpine,Senior Staff,71218,1991-06-26
10063,Gino,Leonhardt,Senior Engineer,40000,1989-04-08
10066,Kwee,Schusler,Senior Engineer,69736,1998-02-25
10067,Claudi,Stavenow,Senior Engineer,44642,1996-03-03
10070,Reuven,Garigliano,Technique Leader,55999,1985-10-14
10072,Hironoby,Sidou,Senior Engineer,40000,1995-05-21
10074,Mokhtar,Bernatsky,Technique Leader,61714,1990-08-13
10076,Erez,Ritzmann,Senior Engineer,47319,1996-07-15
10088,Jungsoon,Syrzycki,Senior Staff,65957,1993-09-02
10091,Amabile,Gomatam,Senior Engineer,40000,2001-11-18
10096,Jayson,Mandell,Engineer,61395,1999-01-23
10097,Remzi,Waschkowski,Senior Staff,44886,1996-09-14
10100,Hironobu,Haraldson,Senior Staff,54398,1994-09-21
10103,Akemi,Birch,Engineer,68158,1998-01-12
10106,Eben,Aingworth,Senior Engineer,62928,1997-10-26
10126,Kayoko,Valtorta,Senior Staff,40000,1991-09-08
10127,Subir,Baja,Senior Engineer,40000,1991-05-17
10129,Armond,Peir,Technique Leader,40000,1996-01-16
10130,Nishit,Casperson,Senior Engineer,40000,1988-06-21
10134,Diederik,Siprelle,Senior Engineer,40000,1994-12-12
10138,Perry,Shimshoni,Senior Engineer,53574,2001-03-03
10150,Zhenbing,Perng,Senior Engineer,70122,1995-11-16
10153,Heekeun,Majewski,Assistant Engineer,54246,2000-01-08
10157,Nigel,Aloisi,Senior Engineer,48770,1997-12-10
10159,Serif,Buescher,Senior Engineer,52881,1996-06-12
10160,Debatosh,Khasidashvili,Senior Staff,91622,2000-12-06
10163,Karsten,Szmurlo,Senior Staff,41603,1992-02-02
10166,Samphel,Siegrist,Engineer,51586,1996-09-02
10183,Mechthild,Bonifati,Staff,40000,1996-08-11
10194,Josyula,Hofmeyr,Senior Staff,64941,2002-02-14
10196,Marc,Hellwagner,Staff,86671,1999-01-31
10198,Pranav,Furedi,Senior Engineer,44076,1993-08-31
10203,Steen,Escriba,Senior Staff,40000,1995-04-06
10205,Mabhin,Leijenhorst,Senior Engineer,40000,1993-08-23
10207,Girolamo,Anandan,Senior Engineer,52783,1997-10-11
10215,Xiaobin,Duclos,Senior Staff,43944,1991-11-23
10219,Genta,Kolvik,Senior Staff,40000,1993-03-31
10224,Leon,Trogemann,Senior Engineer,40000,1996-01-09
10228,Karoline,Cesareni,Senior Staff,79474,1998-12-22
10230,Clyde,Vernadat,Senior Staff,47531,2002-06-16
10233,Lein,Vendrig,Senior Staff,40000,2000-04-28
10239,Nikolaos,Llado,Staff,65146,1996-05-04
10240,Remko,Maccarone,Engineer,73874,1998-10-06
10248,Frederique,Tempesti,Senior Staff,58918,1997-08-12
10249,Marie,Boreale,Senior Engineer,72192,2000-12-07
10258,Basil,Ishibashi,Senior Engineer,66280,1997-05-16
10262,Mahendra,Maraist,Staff,63005,1996-01-22
10272,Yishai,Cannane,Staff,58070,1997-10-23
10281,Moty,Kusakari,Senior Engineer,46123,2000-12-02
10282,Hercules,Benzmuller,Engineer,40000,2001-05-02
10283,Kauko,Birjandi,Senior Engineer,40000,1995-05-26
10284,Masali,Murrill,Engineer,40000,1999-07-06
10295,Kristine,Velardi,Senior Staff,46398,2000-06-18
10298,Dietrich,DuCasse,Staff,40000,1999-04-27
10306,Heng,Kilgour,Staff,44229,1993-09-06
10307,Nikolaos,Leaver,Engineer,40000,1999-10-16
10322,Isamu,Dahlbom,Senior Engineer,41968,1997-01-29
10325,Arunachalam,Badr,Senior Staff,44325,1990-09-20
10326,Masali,Czap,Staff,40000,1998-09-02
10328,Serenella,Kawashima,Engineer,46286,1998-07-17
10333,Snehasis,Dymetman,Senior Engineer,45141,1998-01-16
10340,Djelloul,Laventhal,Senior Staff,68132,1993-03-30
10343,Dinah,Syrzycki,Senior Engineer,40000,1997-10-03
10347,Pradeep,Kaminger,Staff,42199,1998-02-20
10349,Oksana,Brodie,Senior Staff,47518,1997-09-27
10353,Phule,Hammerschmidt,Senior Staff,62656,1989-08-24
10355,Satyanarayana,Cochrane,Staff,70434,1996-01-26
10356,Vasilis,Standera,Senior Staff,45376,1995-06-26
10358,Qunsheng,Tagansky,Technique Leader,63243,1991-02-19
10364,Nakhoon,Dengi,Senior Engineer,51401,1985-11-14
10367,Hyuckchul,Gini,Senior Staff,63565,2000-06-23
10372,Anneli,Frijda,Technique Leader,54505,1985-07-30
10377,Marl,Grospietsch,Senior Engineer,40000,1996-08-24
10387,Parto,Wrigley,Senior Staff,61374,1999-01-07
10388,Hironoby,Kaiser,Staff,62545,1999-05-28
10389,Make,Peir,Technique Leader,55548,1999-05-13
10396,Sibyl,Rahier,Senior Engineer,40393,1986-01-11
10397,Irena,Reutenauer,Technique Leader,40529,1993-05-21
10402,Volkmar,Ebeling,Technique Leader,40000,1987-01-02
10404,Prodip,Rosti,Senior Engineer,51647,1996-08-28
10407,Ulf,Siepmann,Senior Staff,62565,1999-10-30
10413,Danel,Impagliazzo,Senior Staff,45416,1997-12-26
10418,Candida,Porotnikoff,Staff,52224,1996-10-04
10422,Greger,Rubsam,Engineer,45725,1995-01-03
10426,Arunas,Luce,Technique Leader,65757,1985-07-06
10429,Martien,Improta,Senior Engineer,40000,1988-09-23
10432,Hisao,Tiemann,Senior Staff,40000,1996-08-12
10433,Reuven,Dengi,Engineer,40000,1999-11-27
10451,Bodh,Ranta,Senior Engineer,46275,1998-03-12
10453,Tsvetan,Matzel,Senior Staff,40000,1993-04-02
10463,Ung,Zaiane,Staff,66480,1994-02-17
10477,Guoxiang,Trogemann,Senior Engineer,55138,2002-05-26
10486,Amstein,Kossowski,Senior Engineer,71692,1996-10-07
10494,Yakkov,Servieres,Senior Engineer,50094,2000-12-17
10497,Pramod,Rabehasaina,Senior Engineer,63707,1999-01-22
10499,Maik,Luft,Senior Staff,40000,2001-07-31
10503,Dannz,Pell,Engineer,40000,1997-03-13
10504,Xiong,Varker,Staff,43931,1999-10-19
10509,Abdelwaheb,Riesenhuber,Senior Staff,49292,1997-10-06
10512,Udi,Gihr,Senior Staff,40000,1998-11-28
10517,Tiina,Speek,Senior Staff,65330,1990-12-25
10522,Marke,Cesareni,Senior Staff,40000,1995-12-12
10529,Ymte,Yetto,Assistant Engineer,47840,1997-07-04
10531,Oguz,Gimbel,Staff,49168,1995-03-16
10542,Yannis,Couchot,Senior Engineer,40000,1992-02-07
10548,Ramalingam,Gunderson,Senior Staff,90631,1993-07-04
10552,Kazuhito,Shiratori,Senior Engineer,80483,1998-08-31
10564,Jianhao,Thisen,Senior Engineer,46660,2000-11-22
10568,Gao,Poulakidas,Staff,64356,1995-07-08
10586,Kirk,Vuskovic,Senior Engineer,47541,2000-02-04
10593,Falguni,Kenevan,Senior Engineer,71435,1999-09-12
10596,Sanjit,Coors,Senior Staff,58689,2001-05-23
10603,Wayne,Restivo,Staff,101271,1995-07-20
10610,Irena,Roccetti,Engineer,49812,1997-03-30
10614,Gila,Ozeri,Senior Engineer,40000,1998-03-03
10615,Keung,Delgrande,Senior Staff,43533,2002-03-10
10623,Aleksander,Danlos,Senior Engineer,60268,1999-01-15
10624,Sham,Gyorkos,Technique Leader,40000,1990-05-07
10628,Krisda,Krogh,Senior Engineer,41650,2001-03-14
10630,Bezalel,Katzenelson,Engineer,40000,1997-01-13
10631,Inderjeet,Chaudhuri,Engineer,40000,1994-10-18
10634,Nahid,Chepyzhov,Senior Engineer,45179,2000-11-10
10636,Saeko,Porotnikoff,Staff,40904,1996-09-25
10639,Pramod,Erol,Senior Engineer,46291,1999-10-26
10641,Guozhong,Zucker,Engineer,41785,1999-03-21
10642,Hirochika,Narlikar,Engineer,40000,1998-10-05
10653,Otmar,Feinberg,Senior Engineer,40000,1987-04-30
10667,Makato,Cusworth,Senior Staff,40000,1999-07-28
10671,Parviz,Rebaine,Senior Staff,74037,2001-09-13
